:ID(Person)|id:LONG|firstName:STRING|lastName:STRING|gender:STRING|birthday:STRING|creationDate:STRING|locationIP:STRING|browserUsed:STRING
8796093022220|8796093022220|Jose|Alonso|female|1987-09-18|2010-10-17T05:54:00.602+0000|200.5.15.1|Internet Explorer
2199023255591|2199023255591|Alexei|Feltsman|female|1985-12-05|2010-04-05T14:51:09.862+0000|31.28.5.32|Firefox
4398046511124|4398046511124|Yahya Ould Ahmed El|Abdallahi|male|1989-02-28|2010-06-04T18:54:25.021+0000|41.138.128.120|Internet Explorer
4398046511105|4398046511105|Evangelos|Alkaios|male|1987-02-05|2010-07-10T04:53:20.823+0000|31.177.56.248|Internet Explorer
8796093022239|8796093022239|Otto|Richter|male|1982-11-12|2010-09-25T00:18:51.149+0000|46.1.161.149|Firefox
8796093022222|8796093022222|Hossein|Forouhar|male|1984-04-11|2010-09-29T17:58:20.222+0000|80.242.6.167|Firefox
10995116277794|10995116277794|Roberto|Diaz|female|1980-08-08|2010-12-13T19:25:09.287+0000|186.157.33.68|Firefox
48|48|Adje van den Berg|Vries|female|1986-08-07|2010-03-27T13:28:38.717+0000|192.101.114.157|Firefox
6597069766681|6597069766681|Luigi|Colombo|male|1986-11-21|2010-08-07T21:09:55.155+0000|46.30.174.108|Internet Explorer
6|6|Baby|Yang|male|1985-09-20|2010-03-07T05:41:08.221+0000|1.91.255.137|Internet Explorer
2199023255589|2199023255589|Wei|Wei|female|1985-03-14|2010-04-22T13:22:11.928+0000|1.50.49.76|Internet Explorer
8796093022235|8796093022235|Wojciech|Ciesla|male|1986-01-07|2010-10-02T06:52:44.765+0000|46.174.229.243|Internet Explorer
2199023255555|2199023255555|Aleksandr|Efimkin|male|1981-09-08|2010-04-18T22:41:44.770+0000|31.29.176.238|Internet Explorer
4398046511109|4398046511109|Eric|Mettacara|male|1989-09-05|2010-05-29T11:41:31.109+0000|61.4.70.129|Firefox
8796093022232|8796093022232|Jie|Yang|male|1980-12-29|2010-11-19T22:06:08.006+0000|27.54.227.49|Firefox
2199023255574|2199023255574|Ken|Yamada|male|1986-11-12|2010-04-16T03:51:14.078+0000|27.114.117.247|Internet Explorer
4398046511113|4398046511113|Alim|Guliyev|female|1984-11-07|2010-07-25T17:04:51.119+0000|213.172.70.115|Firefox
6597069766672|6597069766672|Jan|Zakrzewski|female|1986-08-05|2010-08-13T04:21:53.260+0000|46.134.160.220|Chrome
10995116277793|10995116277793|Ali|Ferrer|female|1981-06-30|2010-12-10T03:00:51.834+0000|195.39.218.25|Safari
6597069766692|6597069766692|Yang|Liu|male|1986-09-27|2010-08-18T20:42:10.705+0000|1.4.4.161|Chrome
4398046511146|4398046511146|Ali|Achiou|female|1981-04-11|2010-07-06T20:27:55.869+0000|41.220.144.245|Firefox
